1a lei da termodinâmica,Q = W + ΔU,,
2a lei da termodinâmica,É impossível realizar um processo cujo único efeito seja remover calor de um reservatório térmico e produzir uma quantidade equivalente de trabalho (motor perfeito não existe),∫,
lei 0 da termodinâmica,"Se dois sistemas estão em equilíbrio térmico com um terceiro sistema, eles estão em equilíbrio entre si",η,
Trabalho em função de pressão e volume,W = ∫ p dv,Δ,
Energia cinética média vs temperatura (gás ideal),"Km = 3/2 Kb * T ( Kb = R/Na | R - constante dos gases, Na - número de avogadro)",√,
Calor específico de gases ideais,P constante: Cp = 5/2 R ; V constante: Cv = 3/2 R,ω,
Calor dado calor específico,Q = m * C * ΔT ; Q = n * C * ΔT para gases ideais. usar Cv ou Cp dependendo do contexto,γ,λ
Transferência de calor sem mudança de temperatura,Calor latente: envolvido em transições de fase,μ,
ciclo de carnot,"2 processos isotérmicos, 2 adiabáticos",,
rendimento de motor,η = W / Q1 = (Q1 - |Q2|) / Q1 = 1 - (|Q2| / Q1) (0 <= η < 1),,
coeficiente de desempenho refrigerador,k = |Q2| / W = |Q2| / (|Q1| - Q2)  (0 <= k < ∞),,
rendimento máximo motor (carnot),1 - T2 / T1,,
desempenho máximo refrigerador (carnot),T2 / T1 - T2,,
número de avogadro,"6,02 * 10^23",,
caloria/joule,≈ 4.2,,
constante R,8.3 (J/mol K),,
∫ 1/x dx,log(x) + C,,
"ω em função de k,m (MHS)",√k/m,,
posição em função de tempo: MHS,x(t) = A cos (ωt +  φ),,
posição em função de tempo: regime amortecido,x(t) = Ae^(-γt/2) cos (ωt +  φ) (γ = b/m),,
Energia mecânica sistema bloco mola: MHS,Em = 1/2(mv² + kx²) = KA²/2,,
Energia mecânica sistema bloco mola: regime amortecido,Em = KA²/2 * e^(-γt) ,,
"ω em função de k,m (regime amortecido)",√[ k/m - (γ/2)² ],,
posição em função de tempo: oscilações forçadas,x(t) = A cos (ωt +  φ) + F₀ *cos(ωₑ t) / m (ω²-ωₑ²),,
Velocidade mais provável de um gás ideal,√(2RT/M),,
Velocidade RMS,√(3RT/M),,
"colisão elástica: v e f para dois corpos 1,2",v₁ = (m₁-m₂)/(m₁+m₂) v0₁ + (2*m₂)/(m₁+m₂) v0₂,,
T,2π/ω,,
número de onda angular (k),2π/λ (radianos por unidade de distância),,
velocidade de propagação de onda (corda),√T/μ (tensão e densidade linear) ,,
comprimento de onda,λ = v/f,,
sinal de ω: função de onda,inverso ao sentido de propagação da onda no eixo x,,
função de onda,"y(x,t) = A sin(kx±ωt)",,
ressonância,ω = ωd,,
velocidade de propagação de onda ,λf = ω/k,,
processo isovolumétrico: interpretação,W = 0,,
processo isotérmico: interpretação,"ΔU = 0
para gases ideais: W = ∫ p dv = nRT ∫ 1/v dv = nRT [ln(vf) - ln(vi)] = nRT ln(vf/vi)",,
processo adiabático: interpretação,Q = 0,,
processo isobárico: interpretação,W = ∫ p dv = p Δv (pressão constante),,
