Estrutura: componentes,Domínio: objetos  constantes: subconjunto do domínio  relações: mapeamentos k-ários de objetos para booleanos  funções: mapeamentos k-ários de objetos para objetos,,
Assinatura,"cardinalidade do conjunto constantes, funções n-árias e relações k-árias de uma estrutura. mapeamento de símbolos para cada um forma uma linguagem, mas por simplicidade já damos os símbolos na assinatura. Ex. assinatura de A tem 2 símbolos de funções binárias, r e q [...];",,
Interpretação,"mapeamento de símbolos para funções, relações e constantes",,
homomorfismo,"1. Para todo símbolo de constante c de L, h(cᴬ) = cᴮ;
2. Para todo símbolo de relação n-ária R de L e toda n-upla (a₁ , ..., aₙ) de elementos de A, (a₁ , ...aₙ) ∈ Rᴬ → (h(a₁ ), ..., h(aₙ)) ∈ Rᴮ; 
3. Para todo símbolo de função n-ária f de L e toda n-upla (a₁ , ..., aₙ) de elementos de A, h(fᴬ (a₁ , ...aₙ)) = fᴮ (h(a₁), ..., h(aₙ)).",,
imersão,"homomorfismo em que:
1. função h é injetora
2. Para todo símbolo de relação n-ária R de L e toda n-upla (a₁, ..., aₙ) de elementos de A,
(a₁ , ...aₙ) ∈ Rᴬ ↔ (h(a₁), ..., h(aₙ)) ∈ Rᴮ (sse)",,
isomorfismo,imersão em que h é sobrejetora,,
endomorfismo,homomorfismo h : dom(A) → dom(A),,
automorfismo,isomorfismo h : dom(A) → dom(A),,
subestrutura,"Sejam A e B estruturas de mesma assinatura. Dizemos que A é subestrutura de B se:
1. dom(A) ⊆ dom(B)
2. A função identidade i : dom(A) → dom(B) | i(x) = x é uma imersão.
A notação é A ⊆ B.",,
menor subestrutura,"menor domínio possível: contém um subconjunto x da estrutura original e todas suas funções, relações e destaques. completado minimamente para manter consistência",,
extensão de uma estrutura,domínio todo acessível pelos destaques - estrutura com destaques completados de forma que todos os elementos do domínio de A sejam acessíveis a partir das funções de A (partindo de uma subestrutura cujo domínio é vazio),,
termos,definição recursiva: constantes e variáveis são termos; função aplicada a termos é termo também,,
fórmulas atômicas,"um dos dois:
1. R(t₁, ...tₙ), onde R é um símbolo de relação n-ária de L e t₁ , ..., tₙ são termos de L;
2. t₁ = t₂ , onde t₁ e t₂ são termos de L.",,
fórmula bem formada,"fecho indutivo das fórmulas atômicas sob F = {∧,∨,→, ∃,∀}
toda fórmula atômica é bem formada 
se Φ, Δ forem fórmulas bem formadas:
- ¬Φ, ¬Δ são fórmulas bem formadas
- (Φ■Δ) é uma fórmula bem formada (■ = ∧,∨,→)
- (para x variável livre em Φ): ■xΦ é uma fórmula bem formada (■ = ∃,∀)",,
sentença,fórmula sem variáveis livres,,
